task_id,title,description,priority,status,assigned_to,deadline,created_at,category
49,Create Unit Tests,Update the navigation bar as per the new UI guidelines.,Medium,Open,Alice,2025-05-14,2025-05-12,Refactor
50,Write API Docs,Update the navigation bar as per the new UI guidelines.,High,Completed,Alice,2025-05-30,2025-05-10,Improvement
51,Optimize Backend,Write unit tests for the newly added features.,Medium,meet,Bob,2025-06-08,2025-05-10,Improvement
52,Design Landing Page,Fix alignment and spacing issues on the mobile view.,High,In Progress,Eve,2025-04-10,2025-04-09,Refactor
53,Design Landing Page,Update the navigation bar as per the new UI guidelines.,Medium,Open,Eve,2025-06-05,2025-05-04,Feature
54,Fix UI Glitches,,discussion,Open,Alice,2025-06-07,2025-04-14,dinner
55,Refactor Codebase,Update the navigation bar as per the new UI guidelines.,High,Open,Bob,2025-05-14,2025-03-27,Feature
56,Refactor Codebase,Write unit tests for the newly added features.,Medium,In Progress,Bob,2025-05-04,2025-03-28,Bug
57,Fix Login Bug,Refactor the legacy code for better readability.,High,Open,Alice,2025-04-24,2025-04-19,Feature
58,Write API Docs,Update the navigation bar as per the new UI guidelines.,High,Completed,Alice,2025-04-26,2025-04-24,Feature
59,Create Unit Tests,Fix alignment and spacing issues on the mobile view.,High,Completed,Charlie,2025-05-31,2025-05-03,Bug
60,Refactor Codebase,Improve the performance of the backend queries.,Low,Completed,Bob,2025-04-13,2025-03-31,Bug
61,Update Database Schema,ball,Low,In Progress,before,2025-06-12,2025-05-07,resource
62,Refactor Codebase,Complete the documentation for the public API.,High,Open,Charlie,2025-06-09,2025-04-13,Bug
63,Design Landing Page,Complete the documentation for the public API.,High,Completed,Charlie,2025-05-20,2025-05-13,Feature
64,Fix Login Bug,There is a bug preventing users from logging in with valid credentials.,Medium,Open,Bob,2025-06-03,2025-03-19,Improvement
65,,There is a bug preventing users from logging in with valid credentials.,authority,In Progress,Diana,2025-04-28,2025-04-18,Documentation
66,Fix UI Glitches,Design a responsive landing page for the new campaign.,High,In Progress,Bob,2025-06-05,2025-04-18,Feature
67,Write API Docs,Improve the performance of the backend queries.,Medium,In Progress,Bob,2025-03-24,2025-03-22,Feature
68,Write API Docs,Fix alignment and spacing issues on the mobile view.,Low,Open,Bob,2025-06-09,2025-04-11,Documentation
69,Fix UI Glitches,Update the navigation bar as per the new UI guidelines.,Low,In Progress,Diana,2025-05-03,2025-04-01,Improvement
70,Refactor Codebase,Design a responsive landing page for the new campaign.,Medium,In Progress,Alice,2025-05-04,2025-04-25,Bug
71,Create Unit Tests,Design a responsive landing page for the new campaign.,Medium,In Progress,Bob,2025-04-01,2025-03-21,Refactor
72,Create Unit Tests,Update the navigation bar as per the new UI guidelines.,High,Open,Alice,2025-05-19,2025-03-17,Improvement
73,Implement OAuth2,Write unit tests for the newly added features.,Low,In Progress,Bob,2025-04-26,2025-04-24,Refactor
74,Optimize Backend,There is a bug preventing users from logging in with valid credentials.,Low,In Progress,Charlie,2025-06-02,2025-03-20,Bug
75,Design Landing Page,Design a responsive landing page for the new campaign.,High,Completed,Bob,2025-05-14,2025-05-07,Improvement
76,Update Database Schema,Design a responsive landing page for the new campaign.,High,In Progress,Bob,2025-06-02,2025-04-14,Documentation
77,Fix Login Bug,Update the schema to support new user roles and permissions.,High,Completed,Alice,2025-04-14,2025-03-24,Documentation
78,Optimize Backend,Update the navigation bar as per the new UI guidelines.,Low,In Progress,Alice,2025-04-30,2025-04-21,Improvement
79,Write API Docs,There is a bug preventing users from logging in with valid credentials.,High,Open,Diana,2025-04-24,2025-04-13,Bug
80,Optimize Backend,Implement secure login using OAuth2 protocol.,Medium,Completed,Charlie,2025-05-31,2025-04-23,Refactor
81,Write API Docs,Update the schema to support new user roles and permissions.,Low,In Progress,Alice,2025-06-12,2025-05-14,Bug
82,Implement OAuth2,Update the schema to support new user roles and permissions.,Low,Completed,Diana,2025-03-28,2025-03-17,Feature
83,Write API Docs,Design a responsive landing page for the new campaign.,Medium,Completed,Alice,2025-06-08,2025-04-10,Documentation
84,Refactor Codebase,Refactor the legacy code for better readability.,Medium,Completed,Charlie,2025-05-21,2025-05-14,Bug
85,Fix Login Bug,Refactor the legacy code for better readability.,High,In Progress,Bob,2025-05-14,2025-05-11,Documentation
86,Fix UI Glitches,Design a responsive landing page for the new campaign.,High,Open,Diana,2025-05-16,2025-04-20,Documentation
87,Fix Login Bug,Improve the performance of the backend queries.,Medium,In Progress,Bob,2025-05-12,2025-03-22,Refactor
88,Fix Login Bug,There is a bug preventing users from logging in with valid credentials.,Low,Open,Eve,2025-05-29,2025-04-29,Improvement
89,Update Database Schema,Improve the performance of the backend queries.,Low,Open,Alice,2025-05-04,2025-04-21,Feature
90,Optimize Backend,Complete the documentation for the public API.,Medium,Open,Diana,2025-04-25,2025-03-30,Bug
91,Write API Docs,Design a responsive landing page for the new campaign.,Low,Open,Alice,2025-06-04,2025-05-07,Documentation
92,Implement OAuth2,Implement secure login using OAuth2 protocol.,Medium,Open,Charlie,2025-05-03,2025-04-10,Refactor
93,Refactor Codebase,Fix alignment and spacing issues on the mobile view.,Low,Open,Eve,2025-04-12,2025-04-04,Improvement
94,Design Landing Page,Design a responsive landing page for the new campaign.,Low,In Progress,Alice,2025-05-20,2025-04-04,Refactor
95,Update Database Schema,Update the schema to support new user roles and permissions.,Medium,Open,Charlie,2025-04-24,2025-03-17,Documentation
96,Refactor Codebase,Design a responsive landing page for the new campaign.,Low,In Progress,Charlie,2025-05-15,2025-03-29,Bug
97,Fix Login Bug,Complete the documentation for the public API.,High,In Progress,Eve,2025-05-30,2025-04-27,Documentation
98,Refactor Codebase,Update the navigation bar as per the new UI guidelines.,High,Open,Diana,2025-04-08,2025-03-30,Documentation
99,Optimize Backend,Implement secure login using OAuth2 protocol.,Low,Open,Bob,2025-04-30,2025-04-26,Bug
100,Fix Login Bug,Write unit tests for the newly added features.,Low,Open,Bob,2025-06-11,2025-05-13,Documentation
101,Design Landing Page,Update the navigation bar as per the new UI guidelines.,Low,Completed,Alice,2025-05-28,2025-05-09,Feature
102,Create Unit Tests,There is a bug preventing users from logging in with valid credentials.,High,Completed,Eve,2025-05-30,2025-04-28,Feature
103,Update Database Schema,There is a bug preventing users from logging in with valid credentials.,Medium,In Progress,Diana,2025-06-10,2025-05-12,Bug
104,Optimize Backend,Update the schema to support new user roles and permissions.,High,Completed,Alice,2025-05-16,2025-04-12,Bug
105,Fix Login Bug,Improve the performance of the backend queries.,Low,Completed,Alice,2025-05-25,2025-04-09,Refactor
106,Write API Docs,Complete the documentation for the public API.,Low,Completed,Alice,2025-06-05,2025-03-24,Feature
107,Design Landing Page,Fix alignment and spacing issues on the mobile view.,High,Open,Charlie,2025-04-23,2025-04-06,Bug
108,Write API Docs,Fix alignment and spacing issues on the mobile view.,High,In Progress,Diana,2025-04-06,2025-04-06,Feature
109,Design Landing Page,Fix alignment and spacing issues on the mobile view.,Medium,In Progress,Eve,2025-05-17,2025-03-31,Improvement
110,Fix UI Glitches,Design a responsive landing page for the new campaign.,High,Open,Eve,2025-05-13,2025-04-18,Refactor
111,Create Unit Tests,Implement secure login using OAuth2 protocol.,Low,Open,Eve,2025-04-29,2025-04-22,Documentation
112,Create Unit Tests,Update the schema to support new user roles and permissions.,High,Completed,Charlie,2025-05-27,2025-05-02,Bug
113,Fix UI Glitches,Improve the performance of the backend queries.,High,In Progress,Charlie,2025-05-06,2025-04-29,Documentation
114,Implement OAuth2,Fix alignment and spacing issues on the mobile view.,Low,Open,Diana,2025-05-31,2025-04-30,Feature
115,Design Landing Page,Update the schema to support new user roles and permissions.,Medium,Open,Alice,2025-05-23,2025-04-30,Refactor
116,Implement OAuth2,Write unit tests for the newly added features.,Medium,Open,Bob,2025-04-21,2025-04-18,Bug
117,Fix Login Bug,There is a bug preventing users from logging in with valid credentials.,Low,Open,Bob,2025-06-08,2025-04-19,Improvement
118,Design Landing Page,Refactor the legacy code for better readability.,Medium,In Progress,Diana,2025-05-30,2025-03-25,Feature
119,Update Database Schema,Design a responsive landing page for the new campaign.,Low,In Progress,Diana,2025-05-29,2025-05-07,Documentation
120,Fix Login Bug,Update the schema to support new user roles and permissions.,Medium,Completed,Bob,2025-05-22,2025-03-19,Bug
121,Implement OAuth2,There is a bug preventing users from logging in with valid credentials.,Low,In Progress,Alice,2025-06-13,2025-04-27,Improvement
122,Fix Login Bug,Refactor the legacy code for better readability.,High,Open,Charlie,2025-06-01,2025-04-27,Refactor
123,Create Unit Tests,Write unit tests for the newly added features.,High,Open,Bob,2025-04-30,2025-04-07,Improvement
124,Design Landing Page,There is a bug preventing users from logging in with valid credentials.,Medium,In Progress,Diana,2025-05-26,2025-03-21,Improvement
125,Write API Docs,Refactor the legacy code for better readability.,High,Completed,Diana,2025-06-11,2025-04-09,Bug
126,Fix Login Bug,Improve the performance of the backend queries.,High,In Progress,Alice,2025-05-10,2025-05-09,Refactor
127,Design Landing Page,Update the navigation bar as per the new UI guidelines.,Medium,Open,Diana,2025-04-13,2025-03-31,Improvement
128,Optimize Backend,Improve the performance of the backend queries.,Medium,In Progress,Alice,2025-06-04,2025-05-01,Bug
129,Design Landing Page,Implement secure login using OAuth2 protocol.,Medium,In Progress,Bob,2025-06-02,2025-04-16,Bug
130,Fix Login Bug,Update the navigation bar as per the new UI guidelines.,Medium,In Progress,Bob,2025-04-26,2025-04-18,Documentation
131,Fix Login Bug,Update the schema to support new user roles and permissions.,Low,Completed,Eve,2025-05-31,2025-04-25,Improvement
132,Fix Login Bug,Update the navigation bar as per the new UI guidelines.,Medium,Open,Charlie,2025-05-30,2025-03-29,Feature
133,Refactor Codebase,Complete the documentation for the public API.,Medium,In Progress,Bob,2025-03-19,2025-03-18,Feature
134,Update Database Schema,Update the navigation bar as per the new UI guidelines.,High,Open,Alice,2025-05-31,2025-04-18,Refactor
135,Update Database Schema,Refactor the legacy code for better readability.,Low,Open,Charlie,2025-04-24,2025-04-17,Improvement
136,Implement OAuth2,Improve the performance of the backend queries.,High,In Progress,Eve,2025-06-09,2025-04-21,Refactor
137,Write API Docs,There is a bug preventing users from logging in with valid credentials.,High,Completed,Bob,2025-05-01,2025-03-25,Feature
138,Optimize Backend,There is a bug preventing users from logging in with valid credentials.,Medium,In Progress,Eve,2025-06-12,2025-05-08,Bug
139,Refactor Codebase,Design a responsive landing page for the new campaign.,Low,In Progress,Alice,2025-05-30,2025-05-07,Documentation
140,Design Landing Page,Implement secure login using OAuth2 protocol.,Medium,Open,Bob,2025-06-01,2025-04-22,Documentation
141,Write API Docs,There is a bug preventing users from logging in with valid credentials.,Low,In Progress,Alice,2025-05-31,2025-03-31,Bug
142,Implement OAuth2,Update the navigation bar as per the new UI guidelines.,High,Completed,Diana,2025-04-02,2025-03-20,Improvement
143,Optimize Backend,Update the navigation bar as per the new UI guidelines.,Medium,Completed,Bob,2025-06-12,2025-05-11,Refactor
144,Design Landing Page,Update the schema to support new user roles and permissions.,Medium,Open,Bob,2025-04-13,2025-04-08,Documentation
145,Design Landing Page,Refactor the legacy code for better readability.,High,Open,Charlie,2025-05-28,2025-04-09,Feature
146,Refactor Codebase,Design a responsive landing page for the new campaign.,High,Open,Alice,2025-05-30,2025-04-19,Improvement
147,Refactor Codebase,Update the navigation bar as per the new UI guidelines.,Medium,In Progress,Alice,2025-05-05,2025-04-16,Refactor
148,Refactor Codebase,Improve the performance of the backend queries.,High,Completed,Diana,2025-06-02,2025-04-16,Documentation
149,Fix UI Glitches,Update the schema to support new user roles and permissions.,Low,Completed,Alice,2025-06-07,2025-04-03,Documentation
150,Fix Login Bug,Update the navigation bar as per the new UI guidelines.,Low,Open,Charlie,2025-04-11,2025-04-10,Improvement
151,Create Unit Tests,Update the navigation bar as per the new UI guidelines.,Medium,Open,Charlie,2025-04-23,2025-03-29,Documentation
152,Design Landing Page,Design a responsive landing page for the new campaign.,High,Completed,Charlie,2025-04-29,2025-04-08,Feature
153,Create Unit Tests,Improve the performance of the backend queries.,Low,Completed,Charlie,2025-05-27,2025-05-01,Refactor
154,Refactor Codebase,Refactor the legacy code for better readability.,Low,Open,Eve,2025-05-08,2025-03-27,Bug
155,Fix UI Glitches,Write unit tests for the newly added features.,High,Open,Charlie,2025-05-26,2025-03-16,Feature
156,Update Database Schema,Improve the performance of the backend queries.,High,Completed,Bob,2025-05-15,2025-04-28,Documentation
157,Fix Login Bug,Update the navigation bar as per the new UI guidelines.,Medium,In Progress,Alice,2025-06-06,2025-03-19,Bug
158,Optimize Backend,Improve the performance of the backend queries.,High,Completed,Alice,2025-04-17,2025-03-24,Documentation
159,Write API Docs,There is a bug preventing users from logging in with valid credentials.,Medium,Open,Eve,2025-05-04,2025-04-30,Bug
160,Fix Login Bug,Improve the performance of the backend queries.,High,In Progress,Bob,2025-06-09,2025-04-03,Documentation
161,Fix Login Bug,Update the schema to support new user roles and permissions.,Medium,Open,Alice,2025-05-10,2025-05-07,Bug
162,Implement OAuth2,There is a bug preventing users from logging in with valid credentials.,High,In Progress,Diana,2025-06-01,2025-03-18,Feature
163,Design Landing Page,Design a responsive landing page for the new campaign.,Low,In Progress,Bob,2025-05-17,2025-05-08,Feature
164,Design Landing Page,Improve the performance of the backend queries.,High,In Progress,Charlie,2025-06-07,2025-04-25,Bug
165,Fix Login Bug,Refactor the legacy code for better readability.,Low,Open,Bob,2025-05-09,2025-05-07,Refactor
166,Fix UI Glitches,Design a responsive landing page for the new campaign.,Low,Open,Diana,2025-05-30,2025-04-30,Bug
167,Implement OAuth2,There is a bug preventing users from logging in with valid credentials.,Low,Completed,Bob,2025-05-13,2025-03-18,Documentation
168,Implement OAuth2,Design a responsive landing page for the new campaign.,High,In Progress,Diana,2025-05-03,2025-04-28,Documentation
169,Refactor Codebase,Complete the documentation for the public API.,High,In Progress,Bob,2025-06-10,2025-04-16,Feature
170,Fix Login Bug,Update the navigation bar as per the new UI guidelines.,High,Open,Eve,2025-04-22,2025-04-03,Bug
171,Implement OAuth2,Complete the documentation for the public API.,Medium,Open,Bob,2025-05-19,2025-05-12,Improvement
172,Implement OAuth2,Update the navigation bar as per the new UI guidelines.,Low,In Progress,Alice,2025-05-15,2025-03-31,Documentation
173,Create Unit Tests,Update the schema to support new user roles and permissions.,High,Completed,Alice,2025-05-02,2025-03-30,Feature
174,Update Database Schema,Improve the performance of the backend queries.,Medium,In Progress,Eve,2025-03-28,2025-03-21,Documentation
175,Write API Docs,Update the navigation bar as per the new UI guidelines.,Low,Completed,Bob,2025-05-12,2025-05-05,Feature
176,Refactor Codebase,Write unit tests for the newly added features.,Medium,Open,Bob,2025-05-24,2025-04-30,Improvement
177,Implement OAuth2,Complete the documentation for the public API.,Medium,In Progress,Charlie,2025-06-03,2025-04-13,Refactor
178,Optimize Backend,,Medium,,Alice,2025-05-09,2025-03-29,trade
179,Design Landing Page,Update the schema to support new user roles and permissions.,Low,In Progress,Eve,2025-04-25,2025-04-06,Documentation
180,Design Landing Page,Refactor the legacy code for better readability.,Medium,Completed,Charlie,2025-05-06,2025-03-24,Improvement
181,Design Landing Page,Design a responsive landing page for the new campaign.,High,Open,Charlie,2025-06-03,2025-04-07,Improvement
182,Update Database Schema,Design a responsive landing page for the new campaign.,Low,Completed,Diana,2025-06-09,2025-04-10,Documentation
183,Create Unit Tests,Fix alignment and spacing issues on the mobile view.,Low,In Progress,Bob,2025-06-07,2025-05-11,Feature
184,Implement OAuth2,Improve the performance of the backend queries.,Medium,In Progress,Eve,2025-05-30,2025-04-02,Refactor
185,Fix Login Bug,Improve the performance of the backend queries.,Medium,In Progress,Bob,2025-05-22,2025-05-09,Bug
186,Update Database Schema,Fix alignment and spacing issues on the mobile view.,Low,In Progress,Diana,2025-05-19,2025-05-09,Feature
187,Refactor Codebase,Improve the performance of the backend queries.,Low,Completed,Alice,2025-04-14,2025-04-08,Improvement
188,Optimize Backend,Update the navigation bar as per the new UI guidelines.,Low,Open,Charlie,2025-06-11,2025-04-26,Bug
189,Update Database Schema,Complete the documentation for the public API.,High,Open,Alice,2025-05-01,2025-05-01,Refactor
190,Design Landing Page,Complete the documentation for the public API.,Low,Open,Bob,2025-04-12,2025-03-16,Improvement
191,in,Update the schema to support new user roles and permissions.,,,Diana,2025-05-31,2025-04-14,Documentation
192,Design Landing Page,Fix alignment and spacing issues on the mobile view.,Low,In Progress,Bob,2025-06-04,2025-04-24,Feature
193,Update Database Schema,Update the schema to support new user roles and permissions.,Medium,In Progress,Alice,2025-06-03,2025-04-29,Improvement
194,Update Database Schema,Update the navigation bar as per the new UI guidelines.,High,Open,Bob,2025-05-17,2025-03-29,Documentation
195,Write API Docs,Complete the documentation for the public API.,Medium,Completed,Bob,2025-04-28,2025-04-27,Documentation
196,Write API Docs,Update the navigation bar as per the new UI guidelines.,Medium,In Progress,Diana,2025-05-15,2025-03-16,Documentation
197,Fix Login Bug,Write unit tests for the newly added features.,High,In Progress,Alice,2025-05-20,2025-04-20,Documentation
198,Optimize Backend,Design a responsive landing page for the new campaign.,High,Completed,Charlie,2025-04-30,2025-03-20,Refactor
199,Implement OAuth2,Improve the performance of the backend queries.,Medium,In Progress,Bob,2025-04-27,2025-04-02,Bug
200,Fix Login Bug,Update the schema to support new user roles and permissions.,Medium,Open,Eve,2025-05-21,2025-04-22,Improvement
201,Fix UI Glitches,Write unit tests for the newly added features.,Medium,Open,Bob,2025-05-08,2025-05-06,Bug
202,Write API Docs,Update the schema to support new user roles and permissions.,Medium,In Progress,Diana,2025-06-11,2025-03-27,Refactor
203,Refactor Codebase,Implement secure login using OAuth2 protocol.,Low,Completed,Diana,2025-05-28,2025-04-29,Refactor
204,Update Database Schema,Update the navigation bar as per the new UI guidelines.,High,Completed,Alice,2025-04-28,2025-03-17,Bug
205,Update Database Schema,Write unit tests for the newly added features.,Medium,In Progress,Eve,2025-05-13,2025-04-30,Improvement
206,Optimize Backend,Complete the documentation for the public API.,High,Open,Diana,2025-05-23,2025-04-22,Feature
207,Refactor Codebase,Complete the documentation for the public API.,Medium,Open,Diana,2025-06-10,2025-04-17,Refactor
208,Create Unit Tests,Implement secure login using OAuth2 protocol.,Medium,Open,Eve,2025-05-16,2025-03-28,Bug
209,Implement OAuth2,Refactor the legacy code for better readability.,since,In Progress,,2025-05-14,2025-05-09,Documentation
210,Update Database Schema,Fix alignment and spacing issues on the mobile view.,Medium,In Progress,Alice,2025-06-04,2025-05-02,Improvement
211,Fix Login Bug,Implement secure login using OAuth2 protocol.,Medium,Open,Charlie,2025-05-13,2025-03-16,Documentation
212,Write API Docs,Update the schema to support new user roles and permissions.,High,Open,Eve,2025-05-12,2025-05-02,Feature
213,Create Unit Tests,Fix alignment and spacing issues on the mobile view.,Medium,Completed,Diana,2025-05-05,2025-04-25,Improvement
214,Fix UI Glitches,Write unit tests for the newly added features.,Low,In Progress,Alice,2025-04-12,2025-03-31,Improvement
215,Fix Login Bug,Refactor the legacy code for better readability.,High,Open,Eve,2025-05-19,2025-03-23,Feature
216,Fix UI Glitches,There is a bug preventing users from logging in with valid credentials.,Low,Open,Diana,2025-04-19,2025-04-08,Documentation
217,Create Unit Tests,Update the schema to support new user roles and permissions.,Low,Open,Eve,2025-05-20,2025-05-08,Improvement
218,Implement OAuth2,Write unit tests for the newly added features.,High,Open,Bob,2025-06-07,2025-05-10,Bug
219,Fix Login Bug,Update the navigation bar as per the new UI guidelines.,Medium,Completed,Eve,2025-04-15,2025-04-05,Documentation
220,Write API Docs,Write unit tests for the newly added features.,Medium,In Progress,Eve,2025-05-09,2025-05-08,Refactor
221,Fix UI Glitches,Refactor the legacy code for better readability.,Low,In Progress,Eve,2025-05-30,2025-03-18,Documentation
222,Create Unit Tests,Design a responsive landing page for the new campaign.,High,Completed,Bob,2025-05-04,2025-04-12,Refactor
223,Design Landing Page,Write unit tests for the newly added features.,Medium,In Progress,Alice,2025-05-26,2025-04-23,Bug
224,Optimize Backend,Update the schema to support new user roles and permissions.,Medium,Completed,Bob,2025-06-05,2025-05-01,Refactor
225,Create Unit Tests,Update the navigation bar as per the new UI guidelines.,Low,In Progress,Diana,2025-05-18,2025-05-03,Documentation
226,Fix UI Glitches,Fix alignment and spacing issues on the mobile view.,High,In Progress,Alice,2025-06-08,2025-04-13,Feature
227,Design Landing Page,Implement secure login using OAuth2 protocol.,Medium,Open,Bob,2025-05-22,2025-05-12,Improvement
228,Create Unit Tests,around,Medium,Completed,Alice,2025-06-06,2025-05-13,Documentation
229,Refactor Codebase,Update the navigation bar as per the new UI guidelines.,High,In Progress,Diana,2025-05-19,2025-04-28,Documentation
230,Implement OAuth2,Update the schema to support new user roles and permissions.,Low,Completed,Bob,2025-05-29,2025-04-27,Improvement
231,Create Unit Tests,Fix alignment and spacing issues on the mobile view.,High,Completed,Eve,2025-05-15,2025-05-10,Bug
232,Optimize Backend,Fix alignment and spacing issues on the mobile view.,Medium,In Progress,Eve,2025-05-18,2025-04-09,Improvement
233,Fix Login Bug,Design a responsive landing page for the new campaign.,Low,In Progress,Charlie,2025-04-17,2025-03-22,Documentation
234,Design Landing Page,There is a bug preventing users from logging in with valid credentials.,High,Completed,Bob,2025-05-28,2025-05-11,Documentation
235,Write API Docs,Improve the performance of the backend queries.,High,In Progress,Alice,2025-06-09,2025-04-08,Documentation
236,Fix UI Glitches,Improve the performance of the backend queries.,Medium,Completed,Charlie,2025-04-29,2025-03-18,Refactor
237,Refactor Codebase,Implement secure login using OAuth2 protocol.,Medium,Open,Diana,2025-05-27,2025-05-02,Bug
238,Design Landing Page,Improve the performance of the backend queries.,Low,Completed,Eve,2025-05-23,2025-03-24,Documentation
239,Implement OAuth2,Complete the documentation for the public API.,Medium,Open,Alice,2025-05-01,2025-04-05,Bug
240,Fix UI Glitches,Refactor the legacy code for better readability.,High,Open,Eve,2025-05-08,2025-04-15,Documentation
241,Refactor Codebase,Design a responsive landing page for the new campaign.,Medium,Open,Eve,2025-04-26,2025-04-23,Improvement
242,Implement OAuth2,Fix alignment and spacing issues on the mobile view.,Low,In Progress,Charlie,2025-06-13,2025-04-06,Improvement
243,Write API Docs,Design a responsive landing page for the new campaign.,Medium,Open,Diana,2025-06-11,2025-05-09,Refactor
244,Fix Login Bug,Write unit tests for the newly added features.,Medium,Open,Eve,2025-06-03,2025-04-07,Bug
